Subject Code,Subject Title,Maximum Mark,Grade Boundaries,,,,
,,,A,B,C,D,E
7401,BIOLOGY AS,150,93,81,69,57,45
7131,BUSINESS AS,160,120,107,94,81,68
7404,CHEMISTRY AS,160,117,100,84,68,52
7516A,COMP SCI AS (C#),150,112,95,78,62,46
7516B,COMP SCI AS (JAVA),150,112,95,78,62,46
7516D,COMP SCI AS (PYTHON),150,112,95,78,62,46
7516E,COMP SCI AS (VB.NET),150,112,95,78,62,46
7135,ECONOMICS AS,140,102,91,80,69,59
7701,ENGLISH LANGUAGE AS,140,100,89,78,67,56
7716AA,ENGLISH LIT B AS OPTION AA,100,65,54,43,32,21
7716BA,ENGLISH LIT B AS OPTION BA,100,74,63,52,41,30
7716BB,ENGLISH LIT B AS OPTION BB,100,73,62,52,42,32
7711,ENGLISH LITERATURE A AS,100,72,62,52,42,32
7651T,FRENCH AS TEACHER COND OPTION,200,159,141,123,106,89
7651V,FRENCH AS VISITING EXR OPTION,200,159,141,123,106,89
7366DS,FURTHER MATHS AS OPTION DS,160,108,95,83,71,59
7366MD,FURTHER MATHS AS OPTION MD,160,113,101,89,77,66
7366SM,FURTHER MATHS AS OPTION SM,160,109,96,83,70,58
7036,GEOGRAPHY AS,160,108,97,86,75,64
7661T,GERMAN AS TEACHER COND OPTION,200,150,127,104,81,58
7661V,GERMAN AS VISITING EXR OPTION,200,150,127,104,81,58
7041AA,HISTORY AS OPTION AA,100,71,61,51,41,31
7041AB,HISTORY AS OPTION AB,100,74,63,53,43,33
7041AS,HISTORY AS OPTION AS,100,70,60,50,41,32
7041CL,HISTORY AS OPTION CL,100,69,59,49,40,31
7041CN,HISTORY AS OPTION CN,100,68,58,49,40,31
7041CO,HISTORY AS OPTION CO,100,68,58,49,40,31
7041CQ,HISTORY AS OPTION CQ,100,70,60,51,42,33
7041CR,HISTORY AS OPTION CR,100,69,59,49,40,31
7041DN,HISTORY AS OPTION DN,100,71,61,52,43,34
7041DO,HISTORY AS OPTION DO,100,71,61,52,43,34
7041DQ,HISTORY AS OPTION DQ,100,73,63,54,45,36
7041DR,HISTORY AS OPTION DR,100,72,62,52,43,34
7041FL,HISTORY AS OPTION FL,100,72,62,52,42,33
7041FO,HISTORY AS OPTION FO,100,71,61,51,42,33
7041FR,HISTORY AS OPTION FR,100,72,62,52,42,33
7041GG,HISTORY AS OPTION GG,100,65,55,45,35,25
7041GO,HISTORY AS OPTION GO,100,68,58,48,38,29
7041GQ,HISTORY AS OPTION GQ,100,70,60,50,40,31
7041GR,HISTORY AS OPTION GR,100,69,59,49,39,29
7041HA,HISTORY AS OPTION HA,100,67,57,48,39,30
7041HB,HISTORY AS OPTION HB,100,70,60,50,41,32
7041HD,HISTORY AS OPTION HD,100,67,57,47,37,28
7041HE,HISTORY AS OPTION HE,100,64,56,48,40,32
7041HS,HISTORY AS OPTION HS,100,66,57,48,39,31
7041JG,HISTORY AS OPTION JG,100,62,54,46,38,30
7041JL,HISTORY AS OPTION JL,100,66,58,50,42,34
7041JP,HISTORY AS OPTION JP,100,64,56,48,40,33
7041JQ,HISTORY AS OPTION JQ,100,67,59,51,43,36
7041JR,HISTORY AS OPTION JR,100,66,58,50,42,34
7041KB,HISTORY AS OPTION KB,100,70,61,52,43,34
7041KM,HISTORY AS OPTION KM,100,63,55,48,41,34
7041KS,HISTORY AS OPTION KS,100,66,57,49,41,33
7041LS,HISTORY AS OPTION LS,100,70,60,51,42,33
7356,MATHEMATICS AS,160,127,112,98,84,70
7407,PHYSICS AS,140,81,70,59,48,38
7181,PSYCHOLOGY AS,144,104,91,79,67,55
7061A,RELIGIOUS STUDIES AS OPTION A,180,126,108,91,74,57
7061B,RELIGIOUS STUDIES AS OPTION B,180,126,108,91,74,57
7191,SOCIOLOGY AS,120,83,75,67,59,51
7691T,SPANISH AS TEACHER COND OPTION,200,154,135,116,97,78
7691V,SPANISH AS VISITING EXR OPTION,200,154,135,116,97,78